licence_numbers,business_name,name_of_license,premise_address
CE15J25N000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"85 DAWSON ROAD #01-01, MULTI STOREY CAR PARK S(141085)"
CE16913J000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"473 FERNVALE STREET #01-06, FERNVALE RIVERGROVE S(790473)"
CE16E64A000,HAO MART,HAO MART PTE. LTD.,"106 HENDERSON CRESCENT #01-47, HENDERSONVILLE S(150106)"
CE16I13V000,IROHA MART,IROHA INTERNATIONAL PTE. LTD.,"68 ORCHARD ROAD #B2-17,#B2-18, PLAZA SINGAPURA S(238839)"
CE16K18V000,FAIRPRICE SHOP,NTUC FAIRPRICE CO-OPERATIVE LTD,"574 ANG MO KIO AVENUE 10 #01-1847, S(560574)"
CE16M43E000,LITTLE FARMS,LITTLE FARMS PTE. LTD.,"7 WALLICH STREET #B2-06, TANJONG PAGAR CENTRE S(078884)"
CE17174A000,TASTE SINGAPORE,TASTE (SINGAPORE) PRIVATE LIMITED,"118 HOLLAND AVENUE #B1-01/10, RAFFLES HOLLAND V S(278997)"
CE17A77E000,CAVEMEN,CAVEMEN PTE. LTD.,"1 JALAN DUSUN #01-11/12,#01-09/10, ONE DUSUN RESIDENCES S(329363)"
CE17E43B000,HAO MART,HAO MART PTE. LTD.,"410A SIN MING AVENUE #01-02, MULTI STOREY CAR PARK S(571410)"
CE17F56J000,IROHA MART,IROHA INTERNATIONAL PTE. LTD.,"133 NEW BRIDGE ROAD #B1-11, CHINATOWN POINT S(059413)"
CE17J36N000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"5 STRAITS VIEW #B2-15/16, THE HEART S(018935)"
CE17K55B000,FAIRPRICE SHOP,NTUC FAIRPRICE CO-OPERATIVE LTD,"30 BENDEMEER ROAD #01-871, BENDEMEER VILLE S(330030)"
CE17L02A000,FAIRPRICE SHOP,NTUC FAIRPRICE CO-OPERATIVE LTD,"95 LORONG 4 TOA PAYOH #01-70,#01-72,#01-68, TOA PAYOH PALM SPRING S(310095)"
CE17L45A000,DON DON DONKI,PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.,"181 ORCHARD ROAD #B2-01/03,#B2-23/48, ORCHARD CENTRAL S(238896)"
CE17M26A000,HAO MART,HAO MART PTE. LTD.,"17 JALAN TENTERAM #01-128, S(321017)"
CE17M36X000,HAO MART,HAO MART PTE. LTD.,"146 JALAN BUKIT MERAH #01-1074, S(160146)"
CE17P14L000,SF FARM MART,SF (313) PTE. LTD.,"3 TEMASEK BOULEVARD #01-616,#01-617, SUNTEC CITY MALL S(038983)"
CE17Q32B000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"417 FERNVALE LINK #01-11, MULTI STOREY CAR PARK S(790417)"
CE17Q33A000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"338 ANCHORVALE CRESCENT #01-11, MULTI STOREY CAR PARK S(540338)"
CE18A78X000,DON DON DONKI,PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.,"100 TRAS STREET #02-22/26,#03-01/05,#02-01/05,#03-19/23, 100 AM S(079027)"
CE18G73N000,HAO MART,HAO MART PTE. LTD.,"91 TELOK BLANGAH STREET 31 #01-02,#01-03,#01-04, S(100091)"
CE18I13C000,LITTLE FARMS,LITTLE FARMS PTE. LTD.,"3 LORONG LIPUT #01-04,#01-05,#01-06, HOLLAND VILLAGE CORNER S(277725)"
CE18P85X000,FAIRPRICE FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"111 SOMERSET ROAD #01-01/02,#01-21/30, TRIPLEONE SOMERSET S(238164)"
CE18R47X000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"991 BUANGKOK LINK #01-28, MULTI STOREY CAR PARK S(530991)"
CE18R71X000,Your Grocer,YOUR GROCER PRIVATE LIMITED,"34 JALAN BUKIT HO SWEE #01-870, THE BEO CRESCENT S(160034)"
CE18T11J000,JO BY COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"8A MARINA BOULEVARD #B2-44-50, MARINA BAY LINK MALL S(018984)"
CE18T88K000,DON DON DONKI,PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.,"180 KITCHENER ROAD #B2-07,#B2-17,#B2-18,#B2-06, CITY SQUARE MALL S(208539)"
CE18W55K000,HAO MART,HAO MART PTE. LTD.,"803 KING GEORGE'S AVENUE #01-168, S(200803)"
CE19351J000,Jasons Deli By Cold Storage,COLD STORAGE SINGAPORE (1983) PTE LTD,"2 BAYFRONT AVENUE #01-29, MARINA BAY SANDS S(018972)"
CE19392L000,CULINA,CULINA PTE. LTD.,"15 DEMPSEY ROAD, S(249675)"
CE19799X000,SUZYAMEER FROZEN,SUZYAMEER FROZEN PTE. LTD.,"991 BUANGKOK LINK #01-24/25, MULTI STOREY CAR PARK S(530991)"
CE19878A000,DON DON DONKI,PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.,"10 SINARAN DRIVE #B1-01/85, SQUARE 2 S(307506)"
CE19910L000,FAIRPRICE FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"107 NORTH BRIDGE ROAD #B1-10, S(179105)"
CE19987N000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"51 UPPER SERANGOON ROAD #01-30-32,#01-41-49, THE POIZ CENTRE S(347697)"
CE19A43K000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"351 ANCHORVALE ROAD #01-05, MULTI STOREY CAR PARK S(540351)"
CE19H85N000,DON DON DONKI,PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.,"6 EU TONG SEN STREET #B1-11-24,#B1-27B,#B1-28A,#B1-27A,#B1-27C,#B1-27E,#B1-28,#B1-27,#B1-27D,#B1-28B,#B1-44-51, THE CENTRAL S(059817)"
CE19I23N000,MEIDI-YA SUPERMARKET,MEIDI-YA SINGAPORE CO (PTE) LTD,"1 KIM SENG PROMENADE #B2-116,#B2-112,#B2-113,#B2-121,#B2-117,#B2-114,#B2-118,#B2-111,#B2-115,#B2-119,#B2-120, GREAT WORLD CITY S(237994)"
CE19K92V000,HAO MART,HAO MART PTE. LTD.,"116 JALAN TENTERAM #01-02, MULTI STOREY CAR PARK S(320116)"
E02026P000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"20 EASTWOOD ROAD #01-07/09, EASTWOOD CENTRE S(486442)"
E02027N000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"80 MARINE PARADE ROAD #B1-84, PARKWAY PARADE SHOPPING CENTRE S(449269)"
E02028L000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"266 SERANGOON CENTRAL DRIVE #01-255, S(550266)"
E02030B000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"306 UBI AVENUE 1 #01-185, S(400306)"
E02032V000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"539A BEDOK NORTH STREET 3 #01-477, BEDOK NORTH AREA OFFICE S(461539)"
E02033X000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"509 BEDOK NORTH STREET 3 #01-121, S(460509)"
E02034P000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"114 ALJUNIED AVENUE 2 #01-75, S(380114)"
E02035N000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"212 BEDOK NORTH STREET 1 #01-147, S(460212)"
E02039E000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"152B SERANGOON NORTH AVENUE 1 #01-384, S(552152)"
E02041X000,PRIME SUPERMARKET,PRIME SUPERMARKET LIMITED,"25A CHAI CHEE ROAD #01-459, S(461025)"
E02042P000,-,PRIME SUPERMARKET LIMITED,"803 KING GEORGE'S AVENUE #01-154, S(200803)"
E02045K000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"118 ALJUNIED AVENUE 2 #01-100, S(380118)"
E02047E000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"348 BEDOK ROAD #01-01, BEDOK SHOPPING COMPLEX S(469560)"
E02072C000,FAIRPRICE,TEO BOBBY,"29 CHAI CHEE AVENUE #01-62, S(460029)"
E02096K000,fairprice,NTUC FAIRPRICE CO-OPERATIVE LTD,"6 MARINE PARADE CENTRAL, NTUC FAIRPRICE SUPERMARKET S(449411)"
E02140N000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"1 JALAN BERSEH #B1-02, NEW WORLD CENTRE S(209037)"
E03034J000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"115 BEDOK NORTH ROAD #01-319, S(460115)"
E73010V000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"11 UPPER BOON KENG ROAD #01-901, S(380011)"
E75097C000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"18 BEDOK SOUTH ROAD #01-87, S(460018)"
E79179V000,U Stars Supermarket,U STARS PTE. LTD.,"510 BEDOK NORTH STREET 3 #01-33, S(460510)"
E82118V000,HAO MART,HAO MART PTE. LTD.,"537 BEDOK NORTH STREET 3 #01-555, S(460537)"
E83157K000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"934 EAST COAST ROAD, S(459125)"
E85090E000,HAO MART,HAO MART PTE. LTD.,"120 POTONG PASIR AVENUE 1 #01-812, S(350120)"
E89116J000,WAHOO,WAHOO SEAFOODS PTE. LTD.,"57 JALAN TUA KONG, S(457253)"
E95315V000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"77 CIRCUIT ROAD #01-464/6, S(370077)"
E98161V000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"255 EAST COAST ROAD, S(428932)"
J02008P000,-,ANG KEN CHUA,"410 CHOA CHU KANG AVENUE 3 #01-341, S(680410)"
J02009N000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"544 JURONG WEST STREET 42 #01-97/99, S(640544)"
J02010E000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"475 CHOA CHU KANG AVENUE 3 #01-01, S(680475)"
J02011C000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"464 UPPER BUKIT TIMAH ROAD, S(678077)"
J02013A000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"221 BOON LAY PLACE #02-200, BOON LAY SHOPPING CENTRE S(640221)"
J02016P000,Seng Eng,NG TOH TET,"442 JURONG WEST AVENUE 1 #01-756, S(640442)"
J02017N000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"373 BUKIT BATOK STREET 31 #01-248, PRIME BUILDING S(650373)"
J02018L000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"253 CHOA CHU KANG AVENUE 1 #B1-07/10, S(680253)"
J02019K000,PRIME SUPERMARKET,PRIME SUPERMARKET LIMITED,"962 JURONG WEST STREET 91 #01-300, S(640962)"
J02020B000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"142 TECK WHYE LANE #01-281, S(680142)"
J02021A000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"376 BUKIT BATOK STREET 31 #01-116, S(650376)"
J03027B000,JURONG ISLAND MINIMART,KADER HASNA MARICAN,"17 KIAN TECK LANE #01-65, S(627851)"
J03056N000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"492 JURONG WEST STREET 41, #01-24/26/28 S(640492) #01-24/26/28"
J87134E000,G & G WHOLESALE & MARKETING,BALASUBRAMANIYAN KANNADASAN,"257 KRANJI ROAD, 1ST STOREY S(739503) 1ST STOREY"
J92067N000,MCP FAIRMART,MCP FAIRMART PTE. LTD.,"371 BUKIT BATOK STREET 31 #01-324, S(650371)"
J94081B000,PRIME SUPERMARKET,PRIME SUPERMARKET LIMITED,"763 JURONG WEST STREET 75 #01-01, S(640763)"
J96145K000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"21 CHOA CHU KANG AVENUE 4 #B1-03, LOT 1 SHOPPERS' MALL S(689812)"
NE04047K000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"138 TAMPINES STREET 11 #01-136, S(521138)"
NE04092A000,U Stars Supermarket,U STARS PTE. LTD.,"625 ELIAS ROAD #01-302, ELIAS MALL S(510625)"
NE04107V000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"168 PUNGGOL FIELD #03-01, PUNGGOL PLAZA S(820168)"
NE04109P000,AZ SUPERMART,AZ SUPERMART PTE. LTD.,"21 KAKI BUKIT AVENUE 3, GOLDEN BUKIT DORMITORY 2 S(415920) GOLDEN BUKIT DORMITORY 2"
